country,african_region,total_population,area_km2,language_count,currency_count,is_landlocked,border_count,population_density,population_rank,area_category,linguistic_diversity_level,connectivity_profile,complexity_score
Nigeria,Western Africa,223800000,923768.0,1,1,0,4,242.27,1,Very Large,Low,Coastal High Connect,46.26
DR Congo,Middle Africa,112832000,2344858.0,5,1,0,9,48.12,2,Very Large,Medium,Coastal High Connect,59.15
Ethiopia,Eastern Africa,111652998,1104300.0,1,1,1,6,101.11,3,Very Large,Low,Landlocked Connected,32.08
Egypt,Northern Africa,107271260,1002450.0,1,1,0,4,107.01,4,Very Large,Low,Coastal High Connect,30.01
Tanzania,Eastern Africa,68153004,947303.0,2,1,0,8,71.94,5,Very Large,Low,Coastal High Connect,25.79
South Africa,Southern Africa,63100945,1221037.0,11,1,0,6,51.68,6,Very Large,Very High,Coastal High Connect,50.3
Kenya,Eastern Africa,53330978,580367.0,2,1,0,5,91.89,7,Large,Low,Coastal High Connect,18.45
Sudan,Northern Africa,51662000,1886068.0,2,1,0,7,27.39,8,Very Large,Low,Coastal High Connect,36.47
Algeria,Northern Africa,47400000,2381741.0,1,1,0,7,19.9,9,Very Large,Low,Coastal High Connect,40.39
Uganda,Eastern Africa,45905417,241550.0,2,1,1,5,190.05,10,Medium,Low,Landlocked Connected,12.6
Morocco,Northern Africa,36828330,446550.0,2,1,0,3,82.47,11,Large,Low,Coastal High Connect,14.12
Angola,Middle Africa,36170961,1246700.0,1,1,0,4,29.01,12,Very Large,Low,Coastal High Connect,22.84
Mozambique,Eastern Africa,34090466,801590.0,1,1,0,6,42.53,13,Large,Low,Coastal High Connect,16.3
Ghana,Western Africa,33742380,238533.0,1,1,0,3,141.46,14,Medium,Low,Coastal High Connect,8.36
Madagascar,Eastern Africa,31727042,587041.0,2,1,0,0,54.05,15,Large,Low,Coastal Low Connect,15.32
Ivory Coast,Western Africa,31719275,322463.0,1,1,0,5,98.37,16,Large,Low,Coastal High Connect,9.24
Cameroon,Middle Africa,29442327,475442.0,2,1,0,6,61.93,17,Large,Low,Coastal High Connect,13.42
Niger,Western Africa,26312034,1267000.0,1,1,1,7,20.77,18,Very Large,Low,Landlocked Connected,21.65
Burkina Faso,Western Africa,24070553,272967.0,1,1,1,6,88.18,19,Large,Low,Landlocked Connected,7.4
Mali,Western Africa,22395489,1240192.0,1,1,1,7,18.06,20,Very Large,Low,Landlocked Connected,20.69
Malawi,Eastern Africa,20734262,118484.0,2,1,1,3,175.0,21,Medium,Low,Landlocked Connected,7.13
Zambia,Eastern Africa,19693423,752612.0,1,1,1,8,26.17,22,Large,Low,Landlocked Connected,13.47
